22,2,49,26,33,44,30,50,32,27,0.5666666666666667
29,20,32,28,14,17,35,11,1,13,0.35
34,3,45,5,33,40,31,39,14,44,0.43333333333333335
44,12,1,35,26,11,38,36,23,3,0.5166666666666667
26,34,21,6,1,5,36,27,9,16,0.4
49,11,20,47,1,21,37,31,48,38,0.55
16,13,30,8,36,10,48,19,32,15,0.48333333333333334
31,32,19,25,38,23,15,46,34,44,0.18333333333333332
30,10,29,31,3,37,4,12,9,1,0.4
46,20,48,41,40,6,9,32,28,7,0.3333333333333333
39,28,49,29,26,36,12,23,19,20,0.35
0,42,14,4,28,9,36,24,39,3,0.31666666666666665
15,27,10,37,45,29,5,41,31,19,0.3
45,17,47,36,4,6,40,23,37,15,0.18333333333333332
34,27,39,23,37,16,21,41,47,35,0.36666666666666664
44,27,9,47,15,50,43,34,26,18,0.3
8,11,9,29,17,14,38,27,33,3,0.4166666666666667
6,29,38,15,3,16,28,42,2,22,0.3
19,47,32,17,9,30,4,12,49,44,0.38333333333333336
6,40,50,27,36,39,16,12,33,4,0.3
14,16,37,44,26,19,13,34,50,17,0.6333333333333333
48,33,29,24,26,10,17,32,15,43,0.65
9,43,29,11,42,12,46,15,25,49,0.31666666666666665
16,1,12,38,43,44,19,48,7,47,0.45
26,34,40,4,5,20,13,6,31,42,0.5833333333333334
5,37,29,33,31,50,41,22,39,10,0.45
25,11,12,31,34,22,46,38,0,39,0.36666666666666664
42,9,48,37,29,50,3,22,8,16,0.38333333333333336
39,14,35,11,10,45,48,40,32,33,0.6
32,37,27,4,34,25,38,5,28,45,0.13333333333333333
1,13,23,45,2,36,11,48,12,46,0.6333333333333333
23,13,28,12,1,27,7,3,11,46,0.5
14,10,20,49,8,34,38,11,4,44,0.3333333333333333
10,6,14,4,34,38,0,33,29,39,0.21666666666666667
33,43,45,24,0,30,3,1,2,12,0.45
15,18,1,42,13,24,6,49,9,32,0.3
9,31,24,42,45,7,30,47,21,19,0.38333333333333336
49,32,17,9,22,34,4,46,21,26,0.3333333333333333
16,49,48,13,46,14,31,44,18,45,0.4
14,34,8,3,50,31,17,18,23,2,0.48333333333333334
29,26,49,40,46,11,43,28,31,1,0.65
43,23,36,49,39,8,30,10,27,3,0.5
1,5,18,47,40,4,15,16,8,45,0.4166666666666667
10,48,1,11,14,9,50,2,36,38,0.6166666666666667
45,26,50,23,39,16,9,19,38,5,0.26666666666666666
39,1,48,11,49,40,10,12,3,17,0.5833333333333334
30,37,14,26,0,38,31,50,29,27,0.48333333333333334
40,38,32,45,26,24,25,31,27,39,0.36666666666666664
39,36,13,19,21,26,7,2,15,14,0.35
39,10,11,0,35,44,20,1,38,46,0.65
28,5,15,19,21,30,32,2,12,1,0.48333333333333334
44,11,18,34,5,28,46,24,6,42,0.35
8,43,34,39,20,4,35,45,41,15,0.35
13,34,39,16,9,17,46,6,30,22,0.2833333333333333
44,30,43,33,8,12,26,49,23,28,0.4666666666666667
49,27,25,1,15,41,2,5,47,11,0.38333333333333336
33,2,22,35,3,13,5,27,38,23,0.2833333333333333
36,35,33,15,24,10,29,11,1,13,0.7
23,50,26,16,4,41,33,22,44,5,0.25
38,22,11,36,40,2,14,50,1,23,0.55
13,15,41,26,45,39,5,31,49,33,0.4166666666666667
8,32,4,40,6,46,1,14,39,41,0.4166666666666667
43,38,1,4,25,42,12,49,46,8,0.4
16,42,6,3,41,24,44,37,11,48,0.36666666666666664
46,18,22,11,16,40,35,47,13,27,0.4
24,27,50,38,19,18,45,30,48,47,0.35
14,19,42,3,7,27,36,39,22,31,0.6
5,16,29,28,40,10,32,31,1,27,0.6333333333333333
33,23,4,45,38,46,31,29,7,3,0.36666666666666664
31,14,17,21,0,23,34,9,35,20,0.5833333333333334
45,41,38,0,24,20,46,22,26,35,0.45
46,10,45,28,23,25,16,7,9,37,0.4166666666666667
17,1,46,15,37,45,20,0,43,5,0.5333333333333333
33,32,9,18,42,46,2,41,3,22,0.36666666666666664
19,50,7,28,14,46,24,20,17,39,0.5333333333333333
30,37,32,26,3,14,13,8,39,7,0.6166666666666667
9,36,40,41,48,29,33,34,45,28,0.43333333333333335
45,44,11,48,3,42,13,14,10,20,0.7666666666666667
50,31,44,27,13,18,49,7,36,34,0.38333333333333336
30,36,16,45,43,34,23,11,32,49,0.48333333333333334
35,9,19,13,34,33,8,31,4,17,0.3333333333333333
48,20,50,16,2,29,37,4,28,25,0.5333333333333333
4,34,28,25,12,20,3,17,37,9,0.55
44,12,29,10,14,0,11,3,26,23,0.4
46,9,34,1,15,33,23,35,7,41,0.43333333333333335
48,33,20,9,39,32,46,7,21,31,0.48333333333333334
26,38,1,8,39,29,18,2,13,0,0.4
30,9,43,17,0,20,47,34,21,15,0.48333333333333334
48,7,14,23,12,42,16,2,28,41,0.5
25,5,20,45,13,10,43,27,4,49,0.45
39,14,9,10,4,34,15,36,3,7,0.26666666666666666
47,28,40,42,23,27,37,26,25,7,0.4
27,21,18,28,31,38,29,46,20,35,0.55
42,27,38,19,21,45,31,15,28,22,0.3333333333333333
25,20,26,7,4,18,13,5,37,33,0.45
50,3,8,18,19,25,49,7,31,28,0.2833333333333333
22,21,40,8,1,45,33,28,48,13,0.6
9,42,43,46,2,27,13,6,7,38,0.35
25,9,49,42,47,7,48,28,38,17,0.36666666666666664
17,29,44,24,32,40,35,39,27,22,0.26666666666666666
17,42,7,24,11,28,29,0,18,47,0.4
10,26,44,27,46,41,49,20,16,24,0.3333333333333333
34,29,48,25,22,43,18,33,38,16,0.25
25,28,20,35,8,19,38,47,37,21,0.3333333333333333
9,4,17,24,26,31,16,10,11,34,0.6166666666666667
40,26,3,31,19,21,10,17,24,23,0.7166666666666667
46,45,25,40,2,8,10,13,28,21,0.6166666666666667
19,8,40,2,20,17,50,27,30,29,0.5833333333333334
17,3,14,50,43,1,42,4,21,37,0.48333333333333334
19,8,24,40,16,34,33,42,13,47,0.36666666666666664
31,45,34,37,27,25,11,20,4,6,0.3
32,41,20,47,8,25,23,38,37,46,0.25
1,0,17,3,47,44,50,30,20,33,0.65
0,50,48,36,28,19,32,33,47,38,0.48333333333333334
41,8,25,9,14,20,32,4,7,28,0.26666666666666666
1,37,36,4,5,29,34,42,46,9,0.43333333333333335
19,35,10,21,14,24,45,22,33,17,0.55
43,37,42,18,4,26,35,39,40,2,0.48333333333333334
12,23,49,47,5,18,42,24,7,40,0.3
49,27,25,38,23,12,47,18,45,4,0.16666666666666666
45,15,40,42,28,20,35,22,33,50,0.4666666666666667
7,46,20,41,30,26,1,9,14,47,0.7
25,7,9,36,33,47,11,13,10,16,0.43333333333333335
19,27,39,36,17,37,44,32,28,6,0.21666666666666667
47,33,37,26,4,48,23,40,50,38,0.3
31,11,27,44,12,46,41,16,18,14,0.6
14,41,42,6,12,18,5,0,46,4,0.3
30,32,3,50,42,45,31,16,13,33,0.45
8,9,11,28,14,5,33,4,31,18,0.38333333333333336
0,8,10,11,14,3,4,24,20,6,0.5333333333333333
15,0,47,31,11,23,16,10,42,32,0.6166666666666667
24,47,29,39,4,3,31,0,42,36,0.2833333333333333
28,10,16,41,11,36,19,48,5,50,0.48333333333333334
0,39,50,34,23,9,42,30,17,29,0.5
15,4,34,29,48,37,35,26,28,40,0.36666666666666664
7,39,9,43,38,35,0,6,33,45,0.38333333333333336
38,10,50,49,21,36,5,27,40,12,0.38333333333333336
35,12,21,16,44,6,10,41,23,15,0.43333333333333335
19,46,14,39,26,4,22,21,15,34,0.45
42,23,6,11,39,38,33,19,5,44,0.3333333333333333
17,21,13,44,24,2,18,8,27,22,0.4166666666666667
10,13,7,11,27,1,16,46,25,40,0.55
0,18,20,19,32,13,37,9,33,42,0.5
43,15,19,40,0,14,9,38,47,32,0.3
30,13,35,33,22,45,18,16,27,46,0.4166666666666667
39,5,18,50,16,8,13,43,25,9,0.21666666666666667
28,2,35,16,50,11,4,37,44,29,0.43333333333333335
43,45,13,6,24,17,12,14,2,42,0.6333333333333333
43,17,22,30,36,48,49,2,46,24,0.5666666666666667
14,21,19,43,22,45,5,42,37,18,0.36666666666666664
13,47,34,0,31,24,27,30,48,19,0.48333333333333334
42,25,4,26,13,48,18,27,44,10,0.43333333333333335
35,46,13,5,24,37,6,33,25,1,0.3
7,13,37,11,23,40,33,18,16,42,0.5
48,31,17,28,33,23,11,8,47,2,0.48333333333333334
17,20,19,43,49,45,47,41,24,0,0.38333333333333336
33,18,1,10,0,20,19,42,44,25,0.55
50,21,20,19,49,41,36,8,11,33,0.4666666666666667
3,22,16,46,41,7,33,1,25,23,0.4
23,24,9,49,4,41,15,42,48,22,0.25
